id,name,age,income,outcome,savings,employment_status,city,children,credit_score,spending_score
1,Matthew Mcmillan,47,5079.5,2206.18,4356.6,unemployed,Warszawa,6,975.32,10.68
2,Debra Davidson,67,2537.94,639.42,10410.91,employed,Warszawa,0,742.09,39.09
3,Michael Lewis,30,3904.86,3529.14,13919.43,employed,Częstochowa,1,420.14,119.81
4,Christina Walters,18,2054.01,1835.31,24456.44,unemployed,Katowice,5,661.52,46.05
5,William Baker,25,2667.64,1700.63,39554.38,retired,Białystok,2,251.59,28.67
6,Fred Smith,41,3899.47,3750.01,8369.65,unemployed,Warszawa,4,636.26,84.22
7,Angela Lopez,55,4098.65,1973.23,25511.74,student,Warszawa,4,437.62,77.44
8,Noah Rhodes,79,4636.26,1415.76,22117.29,unemployed,Częstochowa,0,538.17,33.84
9,Amy Silva,73,5083.79,1836.3,251858.6,student,Kraków,5,826.03,37.36
10,Brian Rodriguez,40,2328.51,3416.91,6683.28,student,Szczecin,3,406.69,120.26
11,James Brown,71,4155.55,848.2,21422.39,student,Warszawa,1,630.51,5.84
12,Angie Henderson,68,7336.51,2232.43,21551.3,student,Kraków,0,764.02,26.11
13,Lisa Jackson,73,4108.32,1448.4,9131.1,employed,Szczecin,6,414.35,74.36
14,Deborah Figueroa,72,2815.87,2198.6,22285.44,unemployed,Białystok,2,564.74,60.23
15,Daniel Baker,28,3977.58,1445.33,16363.4,unemployed,Poznań,2,855.62,113.8
16,Derek Zuniga,55,5513.4,3539.51,296569.33,unemployed,Warszawa,1,707.39,21.21
17,Gabrielle Davis,42,4627.76,1931.88,26257.07,unemployed,Gdynia,6,596.17,76.89
18,Lauren Daniels,60,3289.31,2254.05,4779.43,unemployed,Poznań,0,765.98,72.09
19,Elizabeth Fowler,65,3294.06,1739.99,1601.34,student,Warszawa,0,354.57,56.18
20,Jamie Arnold,32,3849.31,2608.64,42270.32,unemployed,Szczecin,1,384.14,10.38
21,Jeffrey Chavez,52,6185.9,1787.34,103875.58,unemployed,Gdańsk,4,862.64,59.36
22,Anthony Rodriguez,38,3313.69,1240.47,2921.97,retired,Kraków,1,992.79,7.44
23,Amber Kidd,52,2953.38,2053.79,24964.27,retired,Warszawa,0,547.96,15.89
24,Brian Ramirez,46,4985.34,1105.73,22192.83,student,Białystok,2,758.79,90.46
25,Jessica Callahan,83,32110.3,2031.7,3869.98,unemployed,Warszawa,1,459.76,93.31
26,Mike Allen,24,3712.31,2013.21,2882.95,student,Częstochowa,5,676.23,68.84
27,Aaron Wise,19,6510.24,2365.03,17103.47,retired,Katowice,5,625.47,52.79
28,Megan Young,23,2649.69,1497.56,49977.44,unemployed,Warszawa,1,531.66,25.61
29,Shirley Suarez,37,7423.46,3711.53,14117.0,unemployed,Warszawa,4,292.48,33.31
30,Kelly Donovan,72,5967.2,3153.93,6417.13,employed,Warszawa,3,991.0,61.69
31,Sarah Moore,61,4692.39,1921.7,12775.82,retired,Częstochowa,1,308.02,39.07
32,Carla Gray,62,2537.49,895.68,5722.03,retired,Bydgoszcz,4,461.53,76.82
33,Timothy Duncan,83,2174.01,1434.66,909.07,student,Warszawa,2,476.17,75.47
34,Margaret Hawkins DDS,23,3774.41,2369.28,1332.0,unemployed,Lublin,4,821.44,62.97
35,Tommy Walter,49,3069.76,660.98,21554.84,unemployed,Warszawa,0,325.9,12.48
36,Zachary Ferrell,85,15752.03,2325.34,44016.19,employed,Szczecin,1,363.48,35.01
37,Carol Tucker,28,5553.79,1499.41,23967.69,employed,Warszawa,5,660.48,15.11
38,Daniel Wagner,70,4124.26,1326.68,8653.44,employed,Łódź,1,487.9,23.5
39,Mark Perez,25,4562.79,1382.26,34909.09,student,Częstochowa,4,878.85,26.34
40,John Pierce,62,6192.88,1040.61,18886.15,retired,Bydgoszcz,2,792.29,10.58
41,Tricia Valencia,48,3269.92,498.39,41.19,retired,Warszawa,5,349.06,74.03
42,Monica Herrera,42,4081.04,2277.3,18354.35,student,Warszawa,3,569.68,54.75
43,Michael Evans,60,3502.66,1260.17,19261.45,retired,Lublin,1,585.25,32.58
44,Anthony Humphrey,30,4061.91,1733.37,26169.73,unemployed,Częstochowa,4,603.54,56.13
45,Jordan Henderson,63,8124.42,920.94,12014.84,student,Gdańsk,4,582.93,17.11
46,Danny Morgan,48,5178.81,1114.87,964.3,employed,Katowice,3,1005.92,68.83
47,Stephanie Ross,81,8816.13,1820.24,3923.72,unemployed,Wrocław,4,759.79,8.13
48,Brent Jordan,59,3332.86,3666.43,307276.29,student,Warszawa,0,342.56,56.41
